------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <rng3/dump_m7-bundled.bin>
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
 12   8  12  13  10   7  15  10   4   9  0.419021     98/100     Frequency
 22   4   8   7   6  16   9   7   8  13  0.001509     88/100  *  BlockFrequency
  9  16  11  15   9   8  12   8   6   6  0.289667     98/100     CumulativeSums
 10  11   9  13  13   5   7  12  12   8  0.678686     99/100     CumulativeSums
  9   5  13  11   9   9  11   8  11  14  0.739918     99/100     Runs
 30  10  11   5  11   6   7   6   9   5  0.000000 *   95/100  *  LongestRun
100   0   0   0   0   0   0   0   0   0  0.000000 *    0/100  *  Rank
  6   7   7   8  10  11  17  13  11  10  0.366918     98/100     FFT
 16   7   5   8   6  15  14  15   5   9  0.032923     92/100  *  NonOverlappingTemplate
 13   9   8  11  13   5   5  15  11  10  0.350485     96/100     NonOverlappingTemplate
 20  10   8   6  12   6  10   7  10  11  0.090936     91/100  *  NonOverlappingTemplate
 23   9   7  13  13   9   5   5   7   9  0.002203     95/100  *  NonOverlappingTemplate
 25  16   6   6   6  11   9   3   8  10  0.000034 *   94/100  *  NonOverlappingTemplate
 25   6   9   4  13   7   8  13  11   4  0.000070 *   90/100  *  NonOverlappingTemplate
 15  12  10   7  11  11  10  11   5   8  0.637119     94/100  *  NonOverlappingTemplate
 15   8  12  11  10   8   7   4  16   9  0.213309     95/100  *  NonOverlappingTemplate
 18  12  10   9   9  10   6  12   9   5  0.236810     93/100  *  NonOverlappingTemplate
  8  16  12   8  12  11  11   6   8   8  0.554420     95/100  *  NonOverlappingTemplate
 18  15   9  10   5  10  10  11   3   9  0.055361     93/100  *  NonOverlappingTemplate
 22  11   9   4   8   6  13  12   7   8  0.006661     91/100  *  NonOverlappingTemplate
 24   7   4   8   8  12  11  12   7   7  0.001112     91/100  *  NonOverlappingTemplate
 27   8  15   9   6   5  13  10   5   2  0.000001 *   94/100  *  NonOverlappingTemplate
 16   8   7   9   9   8  13  10  11   9  0.678686     94/100  *  NonOverlappingTemplate
